m,n,k,time_int,time_ext,max_error
5000,500,1000,0.1845951080322266,5.9396982192993164E-002,0.000000000000000
100,750,1000,0.1273369789123535,2.6540756225585938E-003,0.000000000000000
250,750,1000,0.1367361545562744,4.7349929809570313E-003,0.000000000000000
500,750,1000,0.1352920532226563,8.2890987396240234E-003,0.000000000000000
750,750,1000,0.1377799510955811,1.1431932449340820E-002,0.000000000000000
1000,750,1000,0.1483340263366699,1.5343904495239258E-002,0.000000000000000
1500,750,1000,0.1478087902069092,2.1759033203125000E-002,0.000000000000000
2000,750,1000,0.1614308357238770,2.8939008712768555E-002,0.000000000000000
3000,750,1000,0.1679551601409912,4.2155981063842773E-002,0.000000000000000
5000,750,1000,0.1973409652709961,6.7426919937133789E-002,0.000000000000000
100,1000,1000,0.1288850307464600,3.3199787139892578E-003,0.000000000000000
250,1000,1000,0.1083350181579590,3.9758682250976563E-003,0.000000000000000
500,1000,1000,0.1217849254608154,8.6669921875000000E-003,0.000000000000000
750,1000,1000,0.1449139118194580,1.4158964157104492E-002,0.000000000000000
1000,1000,1000,0.1456348896026611,1.8147945404052734E-002,0.000000000000000
1500,1000,1000,0.1554059982299805,2.6414871215820313E-002,0.000000000000000
2000,1000,1000,0.1622788906097412,3.4004211425781250E-002,0.000000000000000
3000,1000,1000,0.1794497966766357,5.0909042358398438E-002,0.000000000000000
5000,1000,1000,0.2138838768005371,8.2465171813964844E-002,0.000000000000000
100,1500,1000,0.1326580047607422,4.7531127929687500E-003,0.000000000000000
250,1500,1000,0.1333889961242676,7.7431201934814453E-003,0.000000000000000
500,1500,1000,0.1388618946075439,1.2280941009521484E-002,0.000000000000000
750,1500,1000,0.1438081264495850,1.7326831817626953E-002,0.000000000000000
1000,1500,1000,0.1467700004577637,2.1948099136352539E-002,0.000000000000000
1500,1500,1000,0.1587190628051758,3.1620025634765625E-002,0.000000000000000
2000,1500,1000,0.1657199859619141,4.1121006011962891E-002,0.000000000000000
3000,1500,1000,0.1966550350189209,6.1985015869140625E-002,0.000000000000000
5000,1500,1000,0.2475340366363525,0.1013600826263428,0.000000000000000
100,2000,1000,0.1344571113586426,6.1721801757812500E-003,0.000000000000000
250,2000,1000,0.1384232044219971,1.0339975357055664E-002,0.000000000000000
500,2000,1000,0.1384658813476563,1.7485857009887695E-002,0.000000000000000
750,2000,1000,0.1534919738769531,2.6342868804931641E-002,0.000000000000000
1000,2000,1000,0.1568450927734375,3.3363103866577148E-002,0.000000000000000
